ClienteID,Edad,Sueldo_Anual,Patrimonio,Horizonte,Tolerancia_Riesgo,Conocimiento_Inversor,Peso_RF,Peso_RV,Peso_Alt
1,58,1589,214188,Corto,Media,Alto,0.45,0.45,0.1
2,48,3398,186256,Corto,Media,Medio,0.45,0.45,0.1
3,34,2790,107755,Largo,Alta,Alto,0.2,0.5,0.3
4,62,2918,193773,Largo,Baja,Bajo,0.5,0.35,0.15
5,27,3733,54890,Corto,Alta,Alto,0.3,0.5,0.2
6,40,2797,173884,Largo,Baja,Medio,0.5,0.35,0.15
7,58,3457,213988,Medio,Media,Medio,0.4,0.5,0.1
8,38,3837,217030,Medio,Media,Medio,0.4,0.5,0.1
9,42,4711,254494,Medio,Media,Medio,0.4,0.5,0.1
10,30,2199,38021,Corto,Baja,Alto,0.65,0.25,0.1
11,30,3498,86562,Largo,Media,Medio,0.3,0.55,0.15
12,43,3757,225866,Corto,Baja,Medio,0.65,0.25,0.1
13,55,3096,258249,Largo,Alta,Alto,0.2,0.5,0.3
14,59,4058,167892,Medio,Baja,Bajo,0.6,0.3,0.1
15,43,3883,141293,Corto,Alta,Alto,0.3,0.5,0.2
16,22,1883,8646,Largo,Baja,Medio,0.5,0.35,0.15
17,41,3797,158066,Largo,Alta,Medio,0.2,0.5,0.3
18,21,1955,6910,Medio,Media,Medio,0.4,0.5,0.1
19,43,3826,187554,Corto,Alta,Medio,0.3,0.5,0.2
20,63,4191,216389,Corto,Media,Alto,0.45,0.45,0.1
21,49,5356,348586,Corto,Media,Alto,0.45,0.45,0.1
22,57,2925,256998,Medio,Alta,Alto,0.2,0.55,0.25
23,21,2794,9724,Corto,Baja,Alto,0.65,0.25,0.1
24,40,2449,131667,Medio,Baja,Medio,0.6,0.3,0.1
25,52,4053,326109,Medio,Baja,Alto,0.6,0.3,0.1
26,31,3211,83222,Medio,Baja,Alto,0.6,0.3,0.1
27,41,3937,164108,Largo,Baja,Medio,0.5,0.35,0.15
28,63,3335,144130,Corto,Media,Alto,0.45,0.45,0.1
29,44,3611,197787,Corto,Baja,Medio,0.65,0.25,0.1
30,68,2253,229859,Medio,Media,Medio,0.4,0.5,0.1
31,46,3725,211415,Medio,Media,Alto,0.4,0.5,0.1
32,61,4316,218834,Corto,Media,Medio,0.45,0.45,0.1
33,47,4434,163160,Medio,Alta,Medio,0.2,0.55,0.25
34,35,3288,132833,Corto,Alta,Medio,0.3,0.5,0.2
35,34,3366,95524,Largo,Media,Medio,0.3,0.55,0.15
36,66,2654,294343,Medio,Alta,Alto,0.2,0.55,0.25
37,63,4292,372853,Corto,Baja,Bajo,0.65,0.25,0.1
38,22,2293,11474,Medio,Baja,Medio,0.6,0.3,0.1
39,56,3197,296124,Corto,Media,Medio,0.45,0.45,0.1
40,26,2637,28706,Corto,Baja,Alto,0.65,0.25,0.1
41,40,4248,177442,Medio,Media,Medio,0.4,0.5,0.1
42,28,3222,46733,Largo,Media,Medio,0.3,0.55,0.15
43,58,3736,247705,Corto,Baja,Bajo,0.65,0.25,0.1
44,37,3828,120372,Corto,Alta,Medio,0.3,0.5,0.2
45,23,2509,18572,Corto,Baja,Alto,0.65,0.25,0.1
46,44,3356,139446,Largo,Baja,Medio,0.5,0.35,0.15
47,33,3190,117435,Largo,Media,Medio,0.3,0.55,0.15
48,69,2399,172039,Medio,Media,Medio,0.4,0.5,0.1
49,28,2808,44635,Largo,Media,Medio,0.3,0.55,0.15
50,45,4991,218795,Medio,Media,Medio,0.4,0.5,0.1
51,21,2358,10077,Medio,Alta,Alto,0.2,0.55,0.25
52,39,4292,175531,Largo,Alta,Medio,0.2,0.5,0.3
53,47,5146,367003,Medio,Alta,Medio,0.2,0.55,0.25
54,66,2511,128168,Largo,Media,Alto,0.3,0.55,0.15
55,26,3258,45324,Medio,Media,Medio,0.4,0.5,0.1
56,63,3543,386647,Largo,Media,Alto,0.3,0.55,0.15
57,27,3079,46883,Largo,Alta,Alto,0.2,0.5,0.3
58,66,2435,295883,Medio,Media,Alto,0.4,0.5,0.1
59,54,4239,244665,Corto,Baja,Alto,0.65,0.25,0.1
60,33,3214,122279,Medio,Baja,Medio,0.6,0.3,0.1
61,36,3205,176974,Largo,Media,Medio,0.3,0.55,0.15
62,55,5145,322322,Corto,Baja,Medio,0.65,0.25,0.1
63,69,1997,169584,Medio,Baja,Bajo,0.6,0.3,0.1
64,59,2941,330348,Medio,Alta,Medio,0.2,0.55,0.25
65,23,2469,25254,Medio,Media,Medio,0.4,0.5,0.1
66,21,2347,5896,Corto,Media,Alto,0.45,0.45,0.1
67,25,3229,30759,Largo,Alta,Alto,0.2,0.5,0.3
68,61,4169,313645,Medio,Baja,Bajo,0.6,0.3,0.1
69,23,2079,8608,Medio,Baja,Alto,0.6,0.3,0.1
70,48,3494,142853,Medio,Media,Medio,0.4,0.5,0.1
71,37,3801,92056,Medio,Baja,Medio,0.6,0.3,0.1
72,45,3659,142217,Medio,Alta,Alto,0.2,0.55,0.25
73,63,4400,375072,Largo,Alta,Medio,0.2,0.5,0.3
74,53,4056,287981,Largo,Media,Medio,0.3,0.55,0.15
75,29,2504,69045,Medio,Alta,Alto,0.2,0.55,0.25
76,55,3536,174129,Corto,Alta,Alto,0.3,0.5,0.2
77,33,3123,108168,Largo,Media,Medio,0.3,0.55,0.15
78,50,3744,211620,Corto,Alta,Medio,0.3,0.5,0.2
79,67,2089,193575,Largo,Alta,Medio,0.2,0.5,0.3
80,34,3039,104949,Medio,Alta,Alto,0.2,0.55,0.25
81,27,3039,29949,Largo,Baja,Alto,0.5,0.35,0.15
82,33,2663,79377,Medio,Media,Medio,0.4,0.5,0.1
83,42,3436,160753,Largo,Media,Medio,0.3,0.55,0.15
84,59,3905,350574,Medio,Media,Medio,0.4,0.5,0.1
85,40,2785,122879,Medio,Baja,Medio,0.6,0.3,0.1
86,35,2812,149917,Medio,Baja,Medio,0.6,0.3,0.1
87,64,3271,233093,Medio,Media,Alto,0.4,0.5,0.1
88,37,3608,105132,Corto,Baja,Medio,0.65,0.25,0.1
89,66,2655,198770,Medio,Media,Alto,0.4,0.5,0.1
90,43,4734,183605,Corto,Baja,Medio,0.65,0.25,0.1
91,45,4810,196457,Corto,Alta,Medio,0.3,0.5,0.2
92,44,3643,239808,Medio,Alta,Medio,0.2,0.55,0.25
93,64,3737,469637,Corto,Media,Medio,0.45,0.45,0.1
94,60,3082,204853,Largo,Baja,Bajo,0.5,0.35,0.15
95,48,4153,175865,Medio,Baja,Medio,0.6,0.3,0.1
96,34,2772,90870,Corto,Alta,Alto,0.3,0.5,0.2
97,64,3965,291512,Medio,Alta,Medio,0.2,0.55,0.25
98,20,1808,5000,Medio,Baja,Medio,0.6,0.3,0.1
99,44,4096,210836,Medio,Baja,Medio,0.6,0.3,0.1
100,26,3683,25866,Corto,Baja,Medio,0.65,0.25,0.1
101,28,2862,70571,Largo,Baja,Alto,0.5,0.35,0.15
102,43,4018,287745,Largo,Baja,Alto,0.5,0.35,0.15
103,20,2313,5000,Corto,Baja,Medio,0.65,0.25,0.1
104,63,3483,265129,Medio,Media,Medio,0.4,0.5,0.1
105,27,3029,48871,Corto,Baja,Medio,0.65,0.25,0.1
106,43,3758,192445,Corto,Alta,Medio,0.3,0.5,0.2
107,30,2966,73881,Corto,Media,Medio,0.45,0.45,0.1
108,36,3235,169475,Medio,Baja,Alto,0.6,0.3,0.1
109,27,2929,41214,Corto,Alta,Alto,0.3,0.5,0.2
110,54,4540,235889,Medio,Media,Medio,0.4,0.5,0.1
111,54,5255,210459,Corto,Alta,Medio,0.3,0.5,0.2
