Nombre,ISIN,Rent Total 1 Día,Rent Total 1 Semana,Rent Total 1 Mes,Rent Total 3 Meses,Rent Total 6 Meses,Rent Total Año,Rent Total 1 Año,Rent Total 3 Años,Rent Total 5 Años,Rent Total 10 Años
21Shares Bitwise Select 10 Lrg Cp Crypto,CH0475986318,"0,74 %","4,72 %","−4,59 %","−6,69 %","23,95 %","12,41 %","59,05 %","62,98 %","47,80 %",—
21Shares Cardano ETP,CH1102728750,"0,83 %","5,05 %","−22,05 %","−22,83 %","−9,87 %","−24,27 %","83,81 %","18,82 %",—,—
21Shares Crypto Mid-Cap ETP,CH1130675676,"0,89 %","6,21 %","−8,17 %","−1,83 %","28,16 %","15,59 %","78,10 %","47,80 %",—,—
21Shares Stellar ETP,CH1109575535,"2,39 %","3,89 %","−15,85 %","−29,87 %","14,38 %","−4,19 %","224,81 %","38,83 %",—,—
abrdn Future Raw Materials ETF USD Acc,IE000J7QYHD8,"1,65 %","1,35 %","10,97 %","33,10 %",—,—,—,—,—,—
abrdn Future Real Estate UCITS ETF,IE000GGQK173,"0,68 %","1,69 %","2,92 %","3,37 %","8,89 %","10,46 %","1,12 %",—,—,—
abrdn Future Supply Chains ETF USD Acc,IE000G9O8QD4,"1,22 %","3,67 %","6,05 %","11,93 %",—,—,—,—,—,—
Acción Eurostoxx 50 ETF Cotiz. Armoni FI,ES0105321030,"0,09 %","1,21 %","3,82 %","6,00 %","12,63 %","19,48 %","17,91 %","20,32 %","15,19 %","8,28 %"
Acción IBEX 35 ETF Cotiz. Armonizado FI,ES0105336038,"0,44 %","1,66 %","4,31 %","11,11 %","21,78 %","40,03 %","38,17 %","31,65 %","21,95 %","7,77 %"
AI-Enhanced Eurozone Eqs ETF EUR Dist,IE000979OT00,"−0,31 %","0,02 %","3,12 %","2,38 %","9,52 %","16,70 %","16,60 %",—,—,—
Ailis D-X MSCI EMU Scrn ETF X EUR Acc,LU3008629340,"0,06 %","1,19 %","3,68 %","5,21 %","12,78 %",—,—,—,—,—
Ailis D-X MSCI Europe Scrn ETF X EUR Acc,LU2870272734,"0,16 %","1,61 %","4,15 %","4,57 %","12,01 %","15,61 %","12,34 %",—,—,—
Ailis D-X MSCI USA Scrn ETF X EUR Acc,LU2870272577,"1,06 %","3,13 %","3,20 %","8,51 %","24,10 %","3,68 %","10,84 %",—,—,—
Ailis D-X MSCI USA Scrn ETF XH EUR Acc,LU2870272650,"1,27 %","2,92 %","2,10 %","6,59 %","25,27 %","14,00 %","16,85 %",—,—,—
Ailis D-X MSCI World Scrn ETF X EUR Acc,LU2870272908,"0,85 %","2,76 %","3,17 %","7,76 %","21,17 %","6,17 %","11,78 %",—,—,—
Ailis D-X MSCI€GovtBd1-3ETFXEURAcc,LU2870273039,"−0,08 %","−0,06 %","0,29 %","0,45 %","0,55 %","1,87 %","2,27 %",—,—,—
Ailis D-X MSCI€GovtBd3-5ETFXEURAcc,LU2870273203,"−0,18 %","−0,21 %","0,51 %","0,63 %","0,51 %","2,23 %","2,44 %",—,—,—
Ailis D-X MSCI€GovtBd7-10ETFXEURAcc,LU2870273385,"−0,39 %","−0,35 %","1,18 %","1,18 %","0,73 %","1,80 %","1,38 %",—,—,—
Alerian Midstream Energy Dividend ETF A,IE00BKPTXQ89,"−1,33 %","−0,37 %","−7,14 %","−1,80 %","−1,81 %","0,22 %","3,29 %","15,72 %","22,34 %",—
Aluminium TR ETC EUR,DE000PB6ALU1,"−0,32 %","3,50 %","8,92 %","9,91 %","15,46 %","3,40 %","3,18 %","3,51 %","8,85 %",—
Amerant Latin American Debt ETF Dis,IE000Y187J49,"−0,25 %","−0,10 %","−2,15 %","0,84 %","4,89 %",—,—,—,—,—
Amundi Australia (S&P/ASX 200) ETF D-EUR,LU0496786905,"−0,04 %","2,01 %","3,23 %","4,86 %","13,61 %","6,08 %","3,60 %","8,84 %","10,03 %","7,30 %"
Amundi BEL 20 ETF Dist,FR0000021842,"−0,20 %","0,63 %","6,49 %","7,94 %","18,45 %","19,36 %","18,44 %","14,59 %","10,75 %","5,46 %"
Amundi BlmbrgEqualweightCmdexAgrETFAcc,LU1829218749,"−0,11 %","3,20 %","5,87 %","8,88 %","16,90 %","7,53 %","9,09 %","−1,03 %","16,04 %","4,60 %"
Amundi BlmbrgEqualweightCmdexAgrETF€HAcc,LU1900069219,"0,38 %","2,94 %","4,75 %","7,08 %","18,07 %","16,99 %","15,26 %","2,04 %","13,34 %",—
Amundi BTP Daily (-2x) Inverse ETF Acc,FR0011023621,"0,00 %","−0,12 %","−3,49 %","−3,67 %","−5,07 %","−2,84 %","−4,00 %","−10,22 %","1,96 %","−5,77 %"
Amundi Bund Daily (-2x) Inverse ETF Acc,FR0010869578,"0,64 %","0,70 %","−1,93 %","−1,15 %","2,32 %","3,43 %","6,50 %","2,73 %","9,84 %","−0,09 %"
Amundi CAC 40 Daily (-2x) Inv ETF Acc,FR0010411884,"0,06 %","−0,97 %","−9,86 %","−9,91 %","−20,23 %","−25,67 %","−22,04 %","−21,02 %","−26,59 %","−22,54 %"
Amundi CAC 40 Daily -1x Inverse ETF Acc,FR0010591362,"0,09 %","−0,44 %","−4,82 %","−4,48 %","−9,72 %","−11,53 %","−9,33 %","−8,89 %","−12,45 %","−10,31 %"
Amundi CAC 40 Daily 2x Leveraged ETF Acc,FR0010592014,"−0,06 %","1,12 %","10,48 %","9,76 %","22,98 %","25,11 %","19,82 %","21,55 %","23,40 %","11,78 %"
