Nombre,ISIN,KID SRI,"Alfa 3 Años, Mensual","Beta 3 Años, Mensual","R-cuadrado 3 Años, Mensual","Volatilidad 3 Años, Mensual","Ratio de Sharpe 3 Años, Mensual"
21Shares Bitwise Select 10 Lrg Cp Crypto,CH0475986318,7,—,—,—,"54,52","1,04"
21Shares Cardano ETP,CH1102728750,7,—,—,—,"144,80","0,51"
21Shares Crypto Mid-Cap ETP,CH1130675676,7,—,—,—,"65,45","0,82"
21Shares Stellar ETP,CH1109575535,7,—,—,—,"281,66","0,56"
abrdn Future Raw Materials ETF USD Acc,IE000J7QYHD8,5,—,—,—,—,—
abrdn Future Real Estate UCITS ETF,IE000GGQK173,4,—,—,—,—,—
abrdn Future Supply Chains ETF USD Acc,IE000G9O8QD4,4,—,—,—,—,—
Acción Eurostoxx 50 ETF Cotiz. Armoni FI,ES0105321030,5,"0,95","1,05","97,89","14,23","1,05"
Acción IBEX 35 ETF Cotiz. Armonizado FI,ES0105336038,5,"0,10","0,98","98,71","15,12","1,54"
AI-Enhanced Eurozone Eqs ETF EUR Dist,IE000979OT00,3,—,—,—,—,—
Ailis D-X MSCI EMU Scrn ETF X EUR Acc,LU3008629340,4,—,—,—,—,—
Ailis D-X MSCI Europe Scrn ETF X EUR Acc,LU2870272734,4,—,—,—,—,—
Ailis D-X MSCI USA Scrn ETF X EUR Acc,LU2870272577,4,—,—,—,—,—
Ailis D-X MSCI USA Scrn ETF XH EUR Acc,LU2870272650,4,—,—,—,—,—
Ailis D-X MSCI World Scrn ETF X EUR Acc,LU2870272908,4,—,—,—,—,—
Ailis D-X MSCI€GovtBd1-3ETFXEURAcc,LU2870273039,2,—,—,—,—,—
Ailis D-X MSCI€GovtBd3-5ETFXEURAcc,LU2870273203,2,—,—,—,—,—
Ailis D-X MSCI€GovtBd7-10ETFXEURAcc,LU2870273385,3,—,—,—,—,—
Alerian Midstream Energy Dividend ETF A,IE00BKPTXQ89,5,"8,34","0,68","64,86","15,41","0,73"
Aluminium TR ETC EUR,DE000PB6ALU1,5,—,—,—,"20,03","0,01"
Amerant Latin American Debt ETF Dis,IE000Y187J49,2,—,—,—,—,—
Amundi Australia (S&P/ASX 200) ETF D-EUR,LU0496786905,4,"−0,51","1,00","99,59","19,60","0,37"
Amundi BEL 20 ETF Dist,FR0000021842,5,"−0,50","1,00","99,91","11,46","0,81"
Amundi BlmbrgEqualweightCmdexAgrETFAcc,LU1829218749,4,—,—,—,"14,04","−0,32"
Amundi BlmbrgEqualweightCmdexAgrETF€HAcc,LU1900069219,4,—,—,—,"17,64","−0,07"
Amundi BTP Daily (-2x) Inverse ETF Acc,FR0011023621,5,—,—,—,"16,89","−0,29"
Amundi Bund Daily (-2x) Inverse ETF Acc,FR0010869578,5,—,—,—,"14,76","0,59"
Amundi CAC 40 Daily (-2x) Invrse ETF Acc,FR0010411884,6,—,—,—,"25,60","−0,65"
Amundi CAC 40 Daily -1x Inverse ETF Acc,FR0010591362,5,—,—,—,"13,63","−0,47"
Amundi CAC 40 Daily 2x Leveraged ETF Acc,FR0010592014,7,—,—,—,"31,72","0,64"
Amundi CAC 40 ETF Dist,FR0007052782,4,"0,53","1,02","99,59","13,93","0,62"
Amundi CAC 40 ETF J-EUR,FR0011122233,4,"−0,41","1,01","97,93","13,95","0,55"
Amundi CAC Transition Climat UCITS ETF,FR0010655704,4,"−0,24","1,00","99,72","13,71","0,56"
Amundi Core DAX ETF Dist,LU2611732046,4,"1,66","0,96","98,09","13,84","1,33"
Amundi Core EUR Corporate Bd ETF Dist,LU1931975079,2,"0,23","0,96","99,59","4,34","0,30"
Amundi Core Eur Corporate Bd ETF DR-EURC,LU2089238625,2,"0,23","0,96","99,59","4,34","0,30"
Amundi Core Eur Corporate Bd ETF-CHF H C,LU2798197641,2,—,—,—,—,—
Amundi Core EUR High Yield Bd ETF Acc,LU2970735911,2,—,—,—,—,—
Amundi Core EURO STOXX 50 ETF EUR Acc,LU1681047236,4,"1,15","1,06","97,91","14,27","1,06"
Amundi Core MSCI Emerg Mkts Swp ETF Acc,LU2573967036,4,"0,12","1,05","99,80","17,13","0,40"
