Nombre,ISIN,Grupo,Rank_Grupo,Rentabilidad_Anual_Predicha,Volatilidad_3Años_Mensual
iShares Global HY Corp Bd ETF GBP H Dist,IE00BJSFQX44,1,1,4.947,3.77
UBS CMCI Composite SF ETF USD acc,IE00B53H0131,1,2,4.940133333333334,9.56
VanEck Multi-Asset Cons Alloc UCITS ETF,NL0009272764,1,3,4.936933333333334,6.8
Vanguard ESG Glb Corp Bd ETF EUR H Inc,IE00BNDS1Q47,1,4,4.931555555555556,5.62
UBS BBG MSCI US Liq Crp Sust ETF USD dis,LU1215461085,1,5,4.929866666666666,7.85
Xtrackers MSCI Japan Screened ETF 2D GBP,IE00BPVLQF37,2,1,19.9852,13.81
iShares S&P 500 Paris-Algnd ClmtETF$Dist,IE000G4PH2B1,2,2,19.903555555555556,13.66
First Trust IndxxInnvtvTrsctn&PrcssETFA$,IE00BF5DXP42,2,3,19.874666666666666,14.78
Acción IBEX 35 ETF Cotiz. Armonizado FI,ES0105336038,2,4,19.8686,14.21
RICI Enhanced Metall TR USD ETC,DE000PR5RUM7,2,5,19.7955,13.85
Invesco Solar Energy ETF,IE00BM8QRZ79,3,1,49.94111111111112,35.5
KS Electric Vhcls & Fut MbltyScrnETFUSD,IE000YUAPTQ0,3,2,48.71088888888889,31.21
Franklin FTSE Korea UCITS ETF,IE00BHZRR030,3,3,47.58233333333334,25.18
UBS Solactive Glbl PureGoldMnrsETFUSDdis,IE00B7KMNP07,3,4,47.43493333333333,35.92
Invesco Global Clean Energy ETF Acc,IE00BLRB0242,3,5,46.24088888888889,26.21
